Title: Dynamical Classifications of multi-opposition TNOs as of December 2023 
Authors: Volk K., Van Laerhoven C.
Table: TNO classifications
================================================================================
Byte-by-byte Description of file: rnaasad22d4t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label Explanations
--------------------------------------------------------------------------------
   1-  7 A7     ---   Des   Minor Planet Center designation (1)
   9- 18 A10    ---   Class Gladman et al. 2008 dynamical classification
  20- 21 A2     ---   p     Resonant integer p for resonant objects (2)
  23- 24 I2     ---   q     Resonant integer q for resonant objects (3)
  26- 27 A2     ---   soi   Secure (S) or insecure (I) classification (4)
  29- 36 F8.3   au    a     Barycentric semimajor axis of the best-fit orbit
  38- 42 F5.3   ---   e     Eccentricity of the best-fit orbit
  44- 50 F7.3   deg   i     Ecliptic inclination of the best-fit orbit
--------------------------------------------------------------------------------
Note (1): Packed for provisional designations.
Note (2): i/m/o for classical objects, 0 otherwise.
Note (3): 0 for non-resonant objects.
Note (4): With 'H' indicating a human judgement call.
--------------------------------------------------------------------------------
181867  resonant   7   3 S    52.786 0.290   5.480 
181868  detached   0   0 S    49.546 0.292  16.680 
181871  resonant   7   4 S    43.674 0.085   0.806 
181874  detached   0   0 I    52.727 0.257  17.203 
181902  scattering 0   0 I   122.404 0.693  25.929 
182222  resonant   7   4 I    43.610 0.097   6.110 
182223  detached   0   0 I    58.436 0.383  19.883 
182294  resonant   11  6 I    44.987 0.162  10.652 
182397  resonant   9   4 I    51.637 0.234  17.036 
182926  classical  m   0 S    45.758 0.147   2.195 
182933  detached   0   0 I    50.447 0.240   1.054 
182934  classical  m   0 S    44.244 0.109  11.611 
183595  classical  m   0 S    44.546 0.103   1.660 
183963  classical  m   0 S    44.353 0.102   2.445 
183964  resonant   7   3 S    53.006 0.382  11.307 
184212  resonant   27  4 I   107.524 0.671  15.434 
184314  classical  m   0 I    45.135 0.139   5.770 
187661  centaur    0   0 S    23.947 0.404  33.125 
202421  classical  m   0 S    43.327 0.147  25.716 
208996  resonant   3   2 S    39.469 0.179  13.565 
225088  resonant   10  3 S    67.066 0.503  30.803 
229762  detached   0   0 I    73.439 0.489  23.357 
230965  detached   0   0 S    47.094 0.247  38.116 
241097  scattering 0   0 I    40.523 0.777  15.683 
248835  centaur    0   0 S    22.066 0.458  36.296 
250112  centaur    0   0 S    12.555 0.314  19.474 
275809  classical  m   0 S    43.844 0.083   1.547 
278361  classical  o   0 I    47.961 0.159  12.058 
281371  centaur    0   0 S    14.707 0.308  27.121 
303712  classical  m   0 S    44.152 0.104   1.341 
303775  scattering 0   0 S   111.837 0.670  14.030 
305543  detached   0   0 S    61.960 0.406  25.152 
306792  resonant   3   2 S    39.503 0.156  15.616 
307251  classical  m   0 S    46.693 0.202   9.763 
307261  classical  m   0 S    41.737 0.145  17.693 
307463  resonant   3   2 S    39.148 0.209   1.369 
307616  classical  m   0 S    43.765 0.076  10.359 
307982  scattering 0   0 S    90.170 0.596  16.279 
308193  classical  m   0 S    43.351 0.142  28.633 
308379  resonant   2   1 S    47.800 0.198  10.007 
308460  resonant   5   4 S    34.828 0.066   1.518 
308634  classical  m   0 S    43.405 0.104   7.866 
308933  scattering 0   0 I   800.052 0.970  19.468 
309139  centaur    0   0 S    15.850 0.377  31.606 
309239  scattering 0   0 S    30.235 0.301  36.101 
309737  centaur    0   0 S    10.942 0.437   6.042 
309741  centaur    0   0 S    27.226 0.612  35.829 
310071  centaur    0   0 S    29.905 0.566  19.662 
