i_mid_deg,node_mid_deg,diff_mid_deg,q_mid,p_mid
10.0,4.06,0.36,0.17321239966218055,0.01229447885495101
7.52,16.01,3.26,0.12579619636411246,0.03609524087265793
10.0,33.87,5.47,0.14418081227447044,0.09677594214948114
10.0,10.99,1.57,0.1704635518678807,0.03310388333159938
10.0,353.71,1.43,0.17260283171137958,-0.01902503856130068
10.0,340.6,3.69,0.16378889568675928,-0.05767917524338992
7.81,0.2,2.21,0.13588766060591842,0.00047433934464310236
10.0,359.05,0.51,0.1736243087765196,-0.0028790638967516042
10.0,4.2,0.39,0.17318184153087443,0.012717679466824654
10.0,7.68,0.99,0.1720905377705734,0.023206387415551227
10.0,34.24,5.53,0.1435528585393592,0.09770499686415493
10.0,2.06,0.02,0.17353595447260609,0.006241963819775727
7.09,32.02,5.24,0.10465028035398176,0.06544355728791337
8.24,356.93,1.93,0.14311420737410174,-0.007675636325354792
10.0,353.87,1.4,0.1726552865766664,-0.01854296697335674
10.0,13.26,1.96,0.16901858538547285,0.03982973011883737
10.0,354.19,1.35,0.17275615670686334,-0.017578393752543834
7.64,29.06,4.71,0.11621169254196666,0.06457637443659085
10.0,16.16,2.46,0.16678702979918594,0.048329869623362956
10.0,342.31,3.4,0.1654371420621125,-0.05276591355568681
10.0,7.76,1.01,0.1720579678020155,0.023446648436107054
10.0,358.89,0.53,0.17361559194525059,-0.0033639025767757216
10.0,14.57,2.19,0.16806382957347393,0.04368339268124806
10.0,18.56,2.87,0.16461688435161997,0.055271792022795654
10.0,353.61,1.45,0.17256936388283678,-0.01932625820273732
9.84,14.08,2.09,0.16576313042476215,0.041575312918464113
10.0,355.08,1.19,0.17300835695328795,-0.0148928852600662
10.0,348.67,2.3,0.17026410929895391,-0.03411484562004755
10.0,349.02,2.24,0.1704693269891363,-0.03307413132520219
10.0,10.72,1.52,0.17061765696023837,0.03230022817944517
10.0,2.38,0.07,0.1734983864201136,0.007211069037441676
10.0,355.0,1.21,0.17298739392508944,-0.015134435901338646
5.74,6.24,4.3,0.09942185236777454,0.01087090352641769
10.0,1.69,0.05,0.1735726446395727,0.0051211951603523514
10.0,8.13,1.07,0.17190296942633237,0.024557253703442534
8.45,38.51,5.95,0.11498538669781515,0.09149627761362868
10.0,0.77,0.21,0.17363249680671236,0.0023335937334556154
